dataset,policy,policy_label,threshold,true_positive,false_admission,false_negative,admitted,n_true,n_negative,recall,false_admission_rate,precision,review_rate,validation_debt_cost,debt_adjusted_utility,meets_false_constraint
CVEfixes,category_plus_coverage,Category+coverage,0.010101010101010102,7912,4580,4756,12492,12668,8000,0.6245658351752447,0.5725,0.6333653538264489,0.6044126185407394,1.8415791721332258,-1.217013336957981,False
CVEfixes,category_plus_coverage,Category+coverage,0.0070921985815602835,7912,4589,4756,12501,12668,8000,0.6245658351752447,0.573625,0.63290936725062,0.604848074317786,1.8449759449220782,-1.2204101097468334,False
CVEfixes,category_plus_coverage,Category+coverage,0.0,8037,5298,4631,13335,12668,8000,0.6344332175560468,0.66225,0.6026996625421822,0.6452003096574415,2.1104017110938607,-1.4759684935378137,False
BigVul,risk_score,Risk score,10.0,137,261,4295,398,4432,8000,0.030911552346570396,0.032625,0.3442211055276382,0.03201415701415702,0.34174781976406526,-0.31083626741749487,True
BigVul,risk_score,Risk score,9.4,138,265,4294,403,4432,8000,0.031137184115523464,0.033125,0.3424317617866005,0.032416344916344916,0.3432115212169364,-0.3120743371014129,True
BigVul,risk_score,Risk score,9.3,311,597,4121,908,4432,8000,0.07017148014440433,0.074625,0.34251101321585903,0.07303732303732303,0.45998399611576507,-0.38981251597136074,True
BigVul,risk_score,Risk score,9.0,318,617,4114,935,4432,8000,0.07175090252707582,0.077125,0.34010695187165774,0.0752091377091377,0.4671977312536879,-0.3954468287266121,True
BigVul,risk_score,Risk score,8.5,327,637,4105,964,4432,8000,0.07378158844765342,0.079625,0.3392116182572614,0.07754182754182753,0.474306694265178,-0.4005251058175246,True
BigVul,risk_score,Risk score,8.3,333,646,4099,979,4432,8000,0.07513537906137184,0.08075,0.34014300306435136,0.07874839124839125,0.4774035747970766,-0.40226819573570477,True
BigVul,risk_score,Risk score,7.9,334,649,4098,983,4432,8000,0.07536101083032491,0.081125,0.3397761953204476,0.07907014157014157,0.47848825437092585,-0.4031272435406009,True
BigVul,risk_score,Risk score,7.8,406,779,4026,1185,4432,8000,0.09160649819494585,0.097375,0.3426160337552743,0.09531853281853282,0.5239893020921903,-0.4323828038972443,True
BigVul,risk_score,Risk score,7.6,421,812,4011,1233,4432,8000,0.09499097472924188,0.1015,0.34144363341443634,0.09917953667953668,0.5357112331516664,-0.44072025842242446,True
BigVul,risk_score,Risk score,7.5,1130,2182,3302,3312,4432,8000,0.2549638989169675,0.27275,0.34118357487922707,0.26640926640926643,1.0178294885912214,-0.7628655896742538,False
BigVul,risk_score,Risk score,7.4,1131,2182,3301,3313,4432,8000,0.2551895306859206,0.27275,0.341382432840326,0.266489703989704,1.017777102528005,-0.7625875718420843,False
BigVul,risk_score,Risk score,7.2,1341,2611,3091,3952,4432,8000,0.302572202166065,0.326375,0.3393218623481781,0.3178893178893179,1.1693764153529498,-0.8668042131868846,False
BigVul,risk_score,Risk score,7.1,1416,2766,3016,4182,4432,8000,0.3194945848375451,0.34575,0.3385939741750359,0.3363899613899614,1.2241958518601117,-0.9047012670225667,False
BigVul,risk_score,Risk score,6.9,1473,2877,2959,4350,4432,8000,0.33235559566787004,0.359625,0.3386206896551724,0.3499034749034749,1.2632812748282063,-0.9309256791603361,False
BigVul,risk_score,Risk score,6.8,2049,4026,2383,6075,4432,8000,0.46231949458483756,0.50325,0.33728395061728395,0.48865830115830117,1.6686030414117055,-1.206283546826868,False
BigVul,risk_score,Risk score,6.6,2059,4047,2373,6106,4432,8000,0.4645758122743682,0.505875,0.3372093023255814,0.4911518661518662,1.6760386402390008,-1.2114628279646327,False
BigVul,risk_score,Risk score,6.5,2065,4062,2367,6127,4432,8000,0.46592960288808666,0.50775,0.3370328056144932,0.4928410553410553,1.681409652045031,-1.2154800491569444,False
