mode,trial,policy,n_pairs,false_admissions,false_admission_rate
same_category_different_cve,45,structural_only,1500,1235,0.8233333333333334
same_category_different_cve,45,category_gate,1500,982,0.6546666666666666
same_category_different_cve,45,mddc_strict,1500,187,0.12466666666666666
any_deranged,46,structural_only,1500,1212,0.808
any_deranged,46,category_gate,1500,555,0.37
any_deranged,46,mddc_strict,1500,103,0.06866666666666667
cross_category,46,structural_only,1500,1185,0.79
cross_category,46,category_gate,1500,491,0.3273333333333333
cross_category,46,mddc_strict,1500,103,0.06866666666666667
same_category_different_cve,46,structural_only,1500,1226,0.8173333333333334
same_category_different_cve,46,category_gate,1500,974,0.6493333333333333
same_category_different_cve,46,mddc_strict,1500,202,0.13466666666666666
any_deranged,47,structural_only,1500,1216,0.8106666666666666
any_deranged,47,category_gate,1500,527,0.35133333333333333
any_deranged,47,mddc_strict,1500,96,0.064
cross_category,47,structural_only,1500,1171,0.7806666666666666
cross_category,47,category_gate,1500,477,0.318
cross_category,47,mddc_strict,1500,84,0.056
same_category_different_cve,47,structural_only,1500,1256,0.8373333333333334
same_category_different_cve,47,category_gate,1500,986,0.6573333333333333
same_category_different_cve,47,mddc_strict,1500,210,0.14
any_deranged,48,structural_only,1500,1226,0.8173333333333334
any_deranged,48,category_gate,1500,536,0.35733333333333334
any_deranged,48,mddc_strict,1500,102,0.068
cross_category,48,structural_only,1500,1200,0.8
cross_category,48,category_gate,1500,481,0.32066666666666666
cross_category,48,mddc_strict,1500,81,0.054
same_category_different_cve,48,structural_only,1500,1226,0.8173333333333334
same_category_different_cve,48,category_gate,1500,938,0.6253333333333333
same_category_different_cve,48,mddc_strict,1500,203,0.13533333333333333
any_deranged,49,structural_only,1500,1221,0.814
any_deranged,49,category_gate,1500,555,0.37
any_deranged,49,mddc_strict,1500,103,0.06866666666666667
cross_category,49,structural_only,1500,1214,0.8093333333333333
cross_category,49,category_gate,1500,532,0.3546666666666667
cross_category,49,mddc_strict,1500,84,0.056
same_category_different_cve,49,structural_only,1500,1245,0.83
same_category_different_cve,49,category_gate,1500,978,0.652
same_category_different_cve,49,mddc_strict,1500,207,0.138
any_deranged,50,structural_only,1500,1213,0.8086666666666666
any_deranged,50,category_gate,1500,561,0.374
any_deranged,50,mddc_strict,1500,103,0.06866666666666667
cross_category,50,structural_only,1500,1160,0.7733333333333333
cross_category,50,category_gate,1500,465,0.31
cross_category,50,mddc_strict,1500,75,0.05
same_category_different_cve,50,structural_only,1500,1230,0.82
same_category_different_cve,50,category_gate,1500,957,0.638
same_category_different_cve,50,mddc_strict,1500,214,0.14266666666666666
any_deranged,51,structural_only,1500,1191,0.794
any_deranged,51,category_gate,1500,571,0.38066666666666665
any_deranged,51,mddc_strict,1500,98,0.06533333333333333
cross_category,51,structural_only,1500,1214,0.8093333333333333
cross_category,51,category_gate,1500,525,0.35
cross_category,51,mddc_strict,1500,88,0.058666666666666666
same_category_different_cve,51,structural_only,1500,1235,0.8233333333333334
same_category_different_cve,51,category_gate,1500,972,0.648
same_category_different_cve,51,mddc_strict,1500,212,0.14133333333333334
any_deranged,52,structural_only,1500,1210,0.8066666666666666
any_deranged,52,category_gate,1500,566,0.37733333333333335
any_deranged,52,mddc_strict,1500,117,0.078
cross_category,52,structural_only,1500,1187,0.7913333333333333
cross_category,52,category_gate,1500,513,0.342
cross_category,52,mddc_strict,1500,89,0.059333333333333335
same_category_different_cve,52,structural_only,1500,1202,0.8013333333333333
same_category_different_cve,52,category_gate,1500,972,0.648
