dataset,false_cost,miss_cost,review_cost,alpha,selected_policy,selected_policy_label,threshold,recall,false_admission_rate,precision,review_rate,utility
BigVul,0.5,0.1,0.0,0.05,coverage_only,Coverage only,0.1590909090909091,0.6164259927797834,0.049375,0.8736808442596738,0.251528314028314,0.5533810920577618
BigVul,0.5,0.1,0.0,0.1,coverage_only,Coverage only,0.1276595744680851,0.6768953068592057,0.0925,0.8021390374331551,0.3008365508365508,0.5983348375451263
BigVul,0.5,0.1,0.0,0.15,coverage_only,Coverage only,0.108695652173913,0.7145758122743683,0.146875,0.7293873790879779,0.3492599742599742,0.6125958935018051
BigVul,0.5,0.1,0.0,0.2,coverage_only,Coverage only,0.09375,0.7461642599277978,0.199875,0.6740725642070934,0.3946267696267696,0.6208431859205775
BigVul,0.5,0.1,0.0,0.3,coverage_only,Coverage only,0.0833333333333333,0.769404332129964,0.243875,0.6360753590747995,0.4312258687258687,0.6244072653429603
BigVul,0.5,0.1,0.02,0.05,coverage_only,Coverage only,0.1590909090909091,0.6164259927797834,0.049375,0.8736808442596738,0.251528314028314,0.5483505257771955
BigVul,0.5,0.1,0.02,0.1,coverage_only,Coverage only,0.1276595744680851,0.6768953068592057,0.0925,0.8021390374331551,0.3008365508365508,0.5923181065283952
BigVul,0.5,0.1,0.02,0.15,coverage_only,Coverage only,0.108695652173913,0.7145758122743683,0.146875,0.7293873790879779,0.3492599742599742,0.6056106940166056
BigVul,0.5,0.1,0.02,0.2,coverage_only,Coverage only,0.09375,0.7461642599277978,0.199875,0.6740725642070934,0.3946267696267696,0.6129506505280421
BigVul,0.5,0.1,0.02,0.3,coverage_only,Coverage only,0.0833333333333333,0.769404332129964,0.243875,0.6360753590747995,0.4312258687258687,0.6157827479684429
BigVul,0.5,0.1,0.05,0.05,coverage_only,Coverage only,0.1590909090909091,0.6164259927797834,0.049375,0.8736808442596738,0.251528314028314,0.5408046763563461
BigVul,0.5,0.1,0.05,0.1,coverage_only,Coverage only,0.1276595744680851,0.6768953068592057,0.0925,0.8021390374331551,0.3008365508365508,0.5832930100032987
BigVul,0.5,0.1,0.05,0.15,coverage_only,Coverage only,0.108695652173913,0.7145758122743683,0.146875,0.7293873790879779,0.3492599742599742,0.5951328947888064
BigVul,0.5,0.1,0.05,0.2,coverage_only,Coverage only,0.09375,0.7461642599277978,0.199875,0.6740725642070934,0.3946267696267696,0.6011118474392391
BigVul,0.5,0.1,0.05,0.3,coverage_only,Coverage only,0.0833333333333333,0.769404332129964,0.243875,0.6360753590747995,0.4312258687258687,0.6028459719066669
BigVul,0.5,0.1,0.1,0.05,coverage_only,Coverage only,0.1590909090909091,0.6164259927797834,0.049375,0.8736808442596738,0.251528314028314,0.5282282606549303
BigVul,0.5,0.1,0.1,0.1,coverage_only,Coverage only,0.1276595744680851,0.6768953068592057,0.0925,0.8021390374331551,0.3008365508365508,0.5682511824614712
BigVul,0.5,0.1,0.1,0.15,coverage_only,Coverage only,0.108695652173913,0.7145758122743683,0.146875,0.7293873790879779,0.3492599742599742,0.5776698960758077
