mode,trial,n_pairs,structural_only_admitted,category_gate_admitted,strict_mddc_gate_admitted
any_deranged,83,1500,1390,742,119
cross_category,83,1500,1499,722,136
same_category_different_cve,83,1500,1499,981,226
any_deranged,84,1500,1390,731,151
cross_category,84,1500,1499,756,132
same_category_different_cve,84,1500,1496,1008,214
any_deranged,85,1500,1398,733,107
cross_category,85,1500,1500,752,148
same_category_different_cve,85,1500,1499,994,212
any_deranged,86,1500,1397,714,123
cross_category,86,1500,1500,755,133
same_category_different_cve,86,1500,1498,992,211
any_deranged,87,1500,1388,716,117
cross_category,87,1500,1499,745,126
same_category_different_cve,87,1500,1498,983,209
any_deranged,88,1500,1391,716,127
cross_category,88,1500,1499,756,134
same_category_different_cve,88,1500,1500,995,207
any_deranged,89,1500,1386,711,133
cross_category,89,1500,1500,789,153
same_category_different_cve,89,1500,1499,1008,204
any_deranged,90,1500,1375,687,120
cross_category,90,1500,1500,738,136
same_category_different_cve,90,1500,1499,980,191
any_deranged,91,1500,1401,740,136
cross_category,91,1500,1500,729,137
same_category_different_cve,91,1500,1495,961,204
any_deranged,92,1500,1375,715,125
cross_category,92,1500,1500,736,129
same_category_different_cve,92,1500,1500,996,214
any_deranged,93,1500,1389,756,147
cross_category,93,1500,1500,739,132
same_category_different_cve,93,1500,1498,1003,203
any_deranged,94,1500,1372,707,118
cross_category,94,1500,1500,744,140
same_category_different_cve,94,1500,1499,974,212
any_deranged,95,1500,1397,725,116
cross_category,95,1500,1499,762,126
same_category_different_cve,95,1500,1499,1021,219
any_deranged,96,1500,1413,742,135
cross_category,96,1500,1500,732,147
same_category_different_cve,96,1500,1498,990,205
any_deranged,97,1500,1403,723,117
cross_category,97,1500,1499,709,117
same_category_different_cve,97,1500,1498,995,191
any_deranged,98,1500,1405,767,137
cross_category,98,1500,1500,747,131
same_category_different_cve,98,1500,1498,986,229
any_deranged,99,1500,1387,738,131
cross_category,99,1500,1499,762,136
same_category_different_cve,99,1500,1500,972,209
any_deranged,100,1500,1405,746,135
cross_category,100,1500,1500,744,114
same_category_different_cve,100,1500,1498,997,203
any_deranged,101,1500,1408,769,142
cross_category,101,1500,1500,767,140
same_category_different_cve,101,1500,1498,1003,205
any_deranged,102,1500,1404,714,131
cross_category,102,1500,1500,737,136
same_category_different_cve,102,1500,1500,994,230
any_deranged,103,1500,1393,727,132
cross_category,103,1500,1500,732,110
same_category_different_cve,103,1500,1499,939,192
any_deranged,104,1500,1383,728,130
cross_category,104,1500,1499,772,131
same_category_different_cve,104,1500,1500,984,203
any_deranged,105,1500,1381,726,138
cross_category,105,1500,1500,714,116
same_category_different_cve,105,1500,1500,989,233
any_deranged,106,1500,1404,761,151
cross_category,106,1500,1499,724,121
same_category_different_cve,106,1500,1500,966,204
any_deranged,107,1500,1403,715,133
cross_category,107,1500,1500,718,129
same_category_different_cve,107,1500,1500,971,188
any_deranged,108,1500,1380,693,119
cross_category,108,1500,1500,713,136
same_category_different_cve,108,1500,1500,993,244
any_deranged,109,1500,1395,725,145
cross_category,109,1500,1500,752,144
same_category_different_cve,109,1500,1497,1014,207
any_deranged,110,1500,1389,711,127
cross_category,110,1500,1498,773,145
same_category_different_cve,110,1500,1498,969,212
any_deranged,111,1500,1385,698,129
cross_category,111,1500,1500,734,145
same_category_different_cve,111,1500,1499,953,195
any_deranged,112,1500,1393,723,130
cross_category,112,1500,1500,749,121
same_category_different_cve,112,1500,1500,1005,194
any_deranged,113,1500,1390,763,130
cross_category,113,1500,1500,715,114
same_category_different_cve,113,1500,1499,976,206
any_deranged,114,1500,1400,732,106
cross_category,114,1500,1500,717,138
same_category_different_cve,114,1500,1498,957,224
any_deranged,115,1500,1406,725,140
cross_category,115,1500,1500,771,133
same_category_different_cve,115,1500,1500,1004,210
any_deranged,116,1500,1397,756,140
cross_category,116,1500,1500,769,127
same_category_different_cve,116,1500,1498,947,201
any_deranged,117,1500,1374,713,134
cross_category,117,1500,1500,736,127
same_category_different_cve,117,1500,1499,999,212
any_deranged,118,1500,1405,742,136
cross_category,118,1500,1497,749,131
same_category_different_cve,118,1500,1498,990,214
any_deranged,119,1500,1384,725,147
cross_category,119,1500,1499,722,116
same_category_different_cve,119,1500,1500,986,225
any_deranged,120,1500,1389,730,123
cross_category,120,1500,1500,748,119
same_category_different_cve,120,1500,1498,987,192
any_deranged,121,1500,1390,725,134
cross_category,121,1500,1500,735,143
same_category_different_cve,121,1500,1498,985,203
any_deranged,122,1500,1387,712,129
cross_category,122,1500,1500,753,133
same_category_different_cve,122,1500,1500,969,218
any_deranged,123,1500,1395,751,128
cross_category,123,1500,1500,744,136
same_category_different_cve,123,1500,1497,1011,207
any_deranged,124,1500,1396,696,126
cross_category,124,1500,1498,715,142
same_category_different_cve,124,1500,1499,945,213
any_deranged,125,1500,1406,716,141
cross_category,125,1500,1500,741,122
same_category_different_cve,125,1500,1499,991,202
any_deranged,126,1500,1383,706,129
cross_category,126,1500,1496,725,142
same_category_different_cve,126,1500,1498,994,231
any_deranged,127,1500,1390,725,142
cross_category,127,1500,1500,739,142
same_category_different_cve,127,1500,1500,994,200
any_deranged,128,1500,1398,716,138
cross_category,128,1500,1498,724,133
same_category_different_cve,128,1500,1500,986,211
any_deranged,129,1500,1391,711,138
cross_category,129,1500,1500,732,144
same_category_different_cve,129,1500,1496,987,206
any_deranged,130,1500,1396,750,132
cross_category,130,1500,1497,727,121
same_category_different_cve,130,1500,1500,991,229
any_deranged,131,1500,1408,733,110
cross_category,131,1500,1500,704,113
same_category_different_cve,131,1500,1499,970,219
any_deranged,132,1500,1401,724,143
cross_category,132,1500,1499,749,132
same_category_different_cve,132,1500,1500,1002,221
any_deranged,133,1500,1384,728,124
cross_category,133,1500,1498,762,140
same_category_different_cve,133,1500,1499,1005,212
any_deranged,134,1500,1404,754,120
cross_category,134,1500,1497,760,148
same_category_different_cve,134,1500,1499,995,237
any_deranged,135,1500,1394,726,133
cross_category,135,1500,1499,719,132
same_category_different_cve,135,1500,1498,985,211
any_deranged,136,1500,1389,730,116
cross_category,136,1500,1500,734,126
same_category_different_cve,136,1500,1494,998,194
any_deranged,137,1500,1380,733,134
cross_category,137,1500,1500,775,135
same_category_different_cve,137,1500,1499,981,201
any_deranged,138,1500,1394,762,118
cross_category,138,1500,1499,763,132
same_category_different_cve,138,1500,1500,1006,227
any_deranged,139,1500,1385,740,118
cross_category,139,1500,1499,743,136
same_category_different_cve,139,1500,1500,996,205
any_deranged,140,1500,1412,724,128
cross_category,140,1500,1499,754,162
same_category_different_cve,140,1500,1498,959,204
any_deranged,141,1500,1385,741,126
cross_category,141,1500,1500,749,149
same_category_different_cve,141,1500,1499,982,218
any_deranged,142,1500,1406,717,125
cross_category,142,1500,1499,734,118
same_category_different_cve,142,1500,1498,954,217
any_deranged,143,1500,1395,701,133
cross_category,143,1500,1499,759,126
same_category_different_cve,143,1500,1498,979,199
any_deranged,144,1500,1383,731,119
cross_category,144,1500,1500,756,124
same_category_different_cve,144,1500,1498,957,196
any_deranged,145,1500,1400,733,144
cross_category,145,1500,1500,760,141
same_category_different_cve,145,1500,1500,1020,241
any_deranged,146,1500,1401,737,156
cross_category,146,1500,1499,747,131
same_category_different_cve,146,1500,1499,967,192
any_deranged,147,1500,1388,744,146
cross_category,147,1500,1500,774,115
same_category_different_cve,147,1500,1499,984,211
any_deranged,148,1500,1404,733,124
cross_category,148,1500,1497,735,145
same_category_different_cve,148,1500,1499,996,252
any_deranged,149,1500,1402,755,127
cross_category,149,1500,1500,748,134
same_category_different_cve,149,1500,1500,973,194
any_deranged,150,1500,1367,712,136
cross_category,150,1500,1500,757,151
same_category_different_cve,150,1500,1498,971,212
any_deranged,151,1500,1396,745,134
cross_category,151,1500,1500,744,139
same_category_different_cve,151,1500,1500,989,213
any_deranged,152,1500,1379,715,129
cross_category,152,1500,1500,768,143
same_category_different_cve,152,1500,1499,988,229
any_deranged,153,1500,1393,698,120
cross_category,153,1500,1500,762,124
same_category_different_cve,153,1500,1497,987,212
any_deranged,154,1500,1401,734,116
cross_category,154,1500,1500,716,119
same_category_different_cve,154,1500,1500,992,221
any_deranged,155,1500,1404,715,129
cross_category,155,1500,1500,732,121
same_category_different_cve,155,1500,1499,992,223
any_deranged,156,1500,1403,738,138
cross_category,156,1500,1500,755,133
same_category_different_cve,156,1500,1498,995,207
any_deranged,157,1500,1402,708,125
cross_category,157,1500,1498,733,143
same_category_different_cve,157,1500,1499,982,201
any_deranged,158,1500,1407,720,136
cross_category,158,1500,1499,732,136
same_category_different_cve,158,1500,1498,977,193
any_deranged,159,1500,1395,736,128
cross_category,159,1500,1498,754,110
same_category_different_cve,159,1500,1500,1009,238
any_deranged,160,1500,1404,747,138
cross_category,160,1500,1500,740,109
same_category_different_cve,160,1500,1500,964,194
any_deranged,161,1500,1380,719,119
cross_category,161,1500,1499,763,152
same_category_different_cve,161,1500,1496,972,209
any_deranged,162,1500,1394,701,130
