negative_mode,policy,policy_label,threshold,true_positive,false_admission,false_negative,admitted,n_true,n_negative,recall,false_admission_rate,precision,review_rate,debt_adjusted_utility,meets_false_constraint
same_cwe_different_cve,risk_only,Risk only,0.577068,4071,4071,1883,8142,5954,5954,0.6837420221699698,0.6837420221699698,0.5,0.6837420221699698,-1.4807356399059455,False
same_cwe_different_cve,risk_only,Risk only,0.573572,4125,4125,1829,8250,5954,5954,0.6928115552569701,0.6928115552569701,0.5,0.6928115552569701,-1.4970607994625464,False
same_cwe_different_cve,risk_only,Risk only,0.5684600000000001,4175,4175,1779,8350,5954,5954,0.7012092710782667,0.7012092710782667,0.5,0.7012092710782667,-1.5121766879408798,False
same_cwe_different_cve,risk_only,Risk only,0.564312,4222,4222,1732,8444,5954,5954,0.7091031239502855,0.7091031239502855,0.5,0.7091031239502855,-1.5263856231105142,False
same_cwe_different_cve,risk_only,Risk only,0.560392,4271,4271,1683,8542,5954,5954,0.7173328854551562,0.7173328854551562,0.5,0.7173328854551562,-1.541199193819281,False
same_cwe_different_cve,risk_only,Risk only,0.5555559999999999,4314,4314,1640,8628,5954,5954,0.7245549210614712,0.7245549210614712,0.5,0.7245549210614712,-1.5541988579106485,False
same_cwe_different_cve,risk_only,Risk only,0.549092,4356,4356,1598,8712,5954,5954,0.7316090023513604,0.7316090023513604,0.5,0.7316090023513604,-1.5668962042324484,False
same_cwe_different_cve,risk_only,Risk only,0.543668,4406,4406,1548,8812,5954,5954,0.7400067181726571,0.7400067181726571,0.5,0.7400067181726571,-1.5820120927107828,False
same_cwe_different_cve,risk_only,Risk only,0.538228,4469,4469,1485,8938,5954,5954,0.7505878401074908,0.7505878401074908,0.5,0.7505878401074908,-1.6010581121934837,False
same_cwe_different_cve,risk_only,Risk only,0.53366,4527,4527,1427,9054,5954,5954,0.7603291904601949,0.7603291904601949,0.5,0.7603291904601949,-1.618592542828351,False
same_cwe_different_cve,risk_only,Risk only,0.528444,4600,4600,1354,9200,5954,5954,0.7725898555592878,0.7725898555592878,0.5,0.7725898555592878,-1.6406617400067183,False
same_cwe_different_cve,risk_only,Risk only,0.522552,4647,4647,1307,9294,5954,5954,0.7804837084313067,0.7804837084313067,0.5,0.7804837084313067,-1.6548706751763518,False
same_cwe_different_cve,risk_only,Risk only,0.5155040000000001,4701,4701,1253,9402,5954,5954,0.789553241518307,0.789553241518307,0.5,0.789553241518307,-1.6711958347329527,False
same_cwe_different_cve,risk_only,Risk only,0.510228,4757,4757,1197,9514,5954,5954,0.7989586832381592,0.7989586832381592,0.5,0.7989586832381592,-1.6881256298286866,False
same_cwe_different_cve,risk_only,Risk only,0.5071920000000001,4825,4825,1129,9650,5954,5954,0.8103795767551226,0.8103795767551226,0.5,0.8103795767551226,-1.708683238159221,False
same_cwe_different_cve,risk_only,Risk only,0.49927999999999995,4879,4879,1075,9758,5954,5954,0.8194491098421229,0.8194491098421229,0.5,0.8194491098421229,-1.725008397715821,False
same_cwe_different_cve,risk_only,Risk only,0.493252,4922,4922,1032,9844,5954,5954,0.826671145448438,0.826671145448438,0.5,0.826671145448438,-1.7380080618071885,False
same_cwe_different_cve,risk_only,Risk only,0.48471600000000004,4971,4971,983,9942,5954,5954,0.8349009069533087,0.8349009069533087,0.5,0.8349009069533087,-1.7528216325159556,False
same_cwe_different_cve,risk_only,Risk only,0.47662400000000005,5022,5022,932,10044,5954,5954,0.8434665770910312,0.8434665770910312,0.5,0.8434665770910312,-1.7682398387638563,False
same_cwe_different_cve,risk_only,Risk only,0.47018800000000005,5067,5067,887,10134,5954,5954,0.8510245213301982,0.8510245213301982,0.5,0.8510245213301982,-1.7818441383943566,False
same_cwe_different_cve,risk_only,Risk only,0.46442000000000005,5113,5113,841,10226,5954,5954,0.858750419885791,0.858750419885791,0.5,0.858750419885791,-1.7957507557944237,False
same_cwe_different_cve,risk_only,Risk only,0.458752,5157,5157,797,10314,5954,5954,0.8661404098085321,0.8661404098085321,0.5,0.8661404098085321,-1.809052737655358,False
same_cwe_different_cve,risk_only,Risk only,0.45358400000000004,5197,5197,757,10394,5954,5954,0.8728585824655694,0.8728585824655694,0.5,0.8728585824655694,-1.8211454484380247,False
same_cwe_different_cve,risk_only,Risk only,0.445756,5249,5249,705,10498,5954,5954,0.8815922069197178,0.8815922069197178,0.5,0.8815922069197178,-1.8368659724554923,False
same_cwe_different_cve,risk_only,Risk only,0.43888400000000005,5294,5294,660,10588,5954,5954,0.8891501511588847,0.8891501511588847,0.5,0.8891501511588847,-1.8504702720859925,False
same_cwe_different_cve,risk_only,Risk only,0.43132400000000004,5348,5348,606,10696,5954,5954,0.8982196842458852,0.8982196842458852,0.5,0.8982196842458852,-1.8667954316425937,False
same_cwe_different_cve,risk_only,Risk only,0.425844,5388,5388,566,10776,5954,5954,0.9049378569029224,0.9049378569029224,0.5,0.9049378569029224,-1.8788881424252606,False
same_cwe_different_cve,risk_only,Risk only,0.421744,5438,5438,516,10876,5954,5954,0.9133355727242191,0.9133355727242191,0.5,0.9133355727242191,-1.8940040309035941,False
