mode,trial,n_pairs,structural_only_admitted,category_gate_admitted,strict_mddc_gate_admitted
cross_category,89,1500,1182,497,93
same_category_different_cve,89,1500,1215,955,213
any_deranged,90,1500,1178,508,95
cross_category,90,1500,1216,479,78
same_category_different_cve,90,1500,1227,963,219
any_deranged,91,1500,1194,545,111
cross_category,91,1500,1181,480,82
same_category_different_cve,91,1500,1212,951,199
any_deranged,92,1500,1231,554,115
cross_category,92,1500,1205,535,87
same_category_different_cve,92,1500,1221,948,193
any_deranged,93,1500,1229,579,122
cross_category,93,1500,1193,525,80
same_category_different_cve,93,1500,1235,966,220
any_deranged,94,1500,1247,556,102
cross_category,94,1500,1184,499,99
same_category_different_cve,94,1500,1229,969,199
any_deranged,95,1500,1235,554,111
cross_category,95,1500,1208,521,90
same_category_different_cve,95,1500,1233,985,194
any_deranged,96,1500,1232,550,107
cross_category,96,1500,1189,489,89
same_category_different_cve,96,1500,1239,982,195
any_deranged,97,1500,1205,526,94
cross_category,97,1500,1177,493,80
same_category_different_cve,97,1500,1232,974,193
any_deranged,98,1500,1201,538,87
cross_category,98,1500,1191,526,93
same_category_different_cve,98,1500,1243,971,200
any_deranged,99,1500,1222,542,95
cross_category,99,1500,1218,534,104
same_category_different_cve,99,1500,1230,973,199
any_deranged,100,1500,1231,562,112
cross_category,100,1500,1222,523,82
same_category_different_cve,100,1500,1249,990,215
any_deranged,101,1500,1228,530,95
cross_category,101,1500,1196,472,84
same_category_different_cve,101,1500,1244,969,193
any_deranged,102,1500,1230,544,111
cross_category,102,1500,1219,535,94
same_category_different_cve,102,1500,1236,964,201
any_deranged,103,1500,1203,517,84
cross_category,103,1500,1202,504,85
same_category_different_cve,103,1500,1238,970,197
any_deranged,104,1500,1214,545,95
cross_category,104,1500,1182,498,90
same_category_different_cve,104,1500,1244,980,203
any_deranged,105,1500,1220,553,103
cross_category,105,1500,1185,483,97
same_category_different_cve,105,1500,1263,1001,215
any_deranged,106,1500,1218,545,102
cross_category,106,1500,1184,520,93
same_category_different_cve,106,1500,1258,991,177
any_deranged,107,1500,1203,536,95
cross_category,107,1500,1187,508,97
same_category_different_cve,107,1500,1239,994,234
any_deranged,108,1500,1217,555,107
cross_category,108,1500,1197,498,88
same_category_different_cve,108,1500,1235,999,207
any_deranged,109,1500,1217,576,115
cross_category,109,1500,1190,502,84
same_category_different_cve,109,1500,1210,957,201
any_deranged,110,1500,1221,546,101
cross_category,110,1500,1210,507,106
same_category_different_cve,110,1500,1192,940,214
any_deranged,111,1500,1207,528,92
cross_category,111,1500,1197,500,99
same_category_different_cve,111,1500,1260,1019,226
any_deranged,112,1500,1223,586,104
cross_category,112,1500,1197,505,106
same_category_different_cve,112,1500,1226,977,211
any_deranged,113,1500,1228,512,94
cross_category,113,1500,1174,496,99
same_category_different_cve,113,1500,1214,951,184
any_deranged,114,1500,1244,572,118
cross_category,114,1500,1193,468,100
same_category_different_cve,114,1500,1235,958,188
any_deranged,115,1500,1193,520,81
cross_category,115,1500,1214,512,93
same_category_different_cve,115,1500,1275,1036,213
any_deranged,116,1500,1188,528,99
cross_category,116,1500,1218,540,93
same_category_different_cve,116,1500,1230,992,238
any_deranged,117,1500,1224,553,102
cross_category,117,1500,1198,477,96
same_category_different_cve,117,1500,1228,970,211
any_deranged,118,1500,1206,523,97
cross_category,118,1500,1202,519,99
same_category_different_cve,118,1500,1242,988,211
any_deranged,119,1500,1221,529,109
cross_category,119,1500,1184,469,83
same_category_different_cve,119,1500,1236,987,177
any_deranged,120,1500,1220,579,95
cross_category,120,1500,1197,498,99
same_category_different_cve,120,1500,1245,993,198
any_deranged,121,1500,1216,550,105
cross_category,121,1500,1211,530,99
same_category_different_cve,121,1500,1233,979,214
any_deranged,122,1500,1225,539,106
cross_category,122,1500,1199,504,80
same_category_different_cve,122,1500,1226,979,187
any_deranged,123,1500,1214,540,100
cross_category,123,1500,1208,475,77
same_category_different_cve,123,1500,1231,935,199
any_deranged,124,1500,1209,532,92
cross_category,124,1500,1183,503,80
same_category_different_cve,124,1500,1223,958,227
any_deranged,125,1500,1209,566,91
cross_category,125,1500,1193,475,90
same_category_different_cve,125,1500,1249,985,194
any_deranged,126,1500,1217,542,106
cross_category,126,1500,1189,495,97
same_category_different_cve,126,1500,1248,998,230
any_deranged,127,1500,1202,524,79
cross_category,127,1500,1213,532,94
same_category_different_cve,127,1500,1251,1006,208
any_deranged,128,1500,1218,527,107
cross_category,128,1500,1194,488,87
same_category_different_cve,128,1500,1213,1004,227
any_deranged,129,1500,1231,537,98
cross_category,129,1500,1208,525,78
same_category_different_cve,129,1500,1247,1025,231
any_deranged,130,1500,1206,530,101
cross_category,130,1500,1185,490,94
same_category_different_cve,130,1500,1239,973,212
any_deranged,131,1500,1208,552,87
cross_category,131,1500,1197,509,104
same_category_different_cve,131,1500,1212,986,206
any_deranged,132,1500,1229,564,92
cross_category,132,1500,1179,475,78
same_category_different_cve,132,1500,1225,975,216
any_deranged,133,1500,1223,529,100
cross_category,133,1500,1218,506,95
same_category_different_cve,133,1500,1253,1000,218
any_deranged,134,1500,1198,558,84
cross_category,134,1500,1212,545,104
same_category_different_cve,134,1500,1233,997,200
any_deranged,135,1500,1231,567,101
cross_category,135,1500,1184,552,96
same_category_different_cve,135,1500,1234,995,200
any_deranged,136,1500,1233,544,92
cross_category,136,1500,1190,501,95
same_category_different_cve,136,1500,1232,969,218
any_deranged,137,1500,1206,557,110
cross_category,137,1500,1185,479,85
same_category_different_cve,137,1500,1238,951,198
any_deranged,138,1500,1187,513,103
cross_category,138,1500,1200,518,97
same_category_different_cve,138,1500,1242,974,208
